,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
146,ENCBS044KWE,,,,ENCSR125NBL,,ENCSR963ALV,,ENCSR069DPL,ENCSR677XPJ,,,,,,,,ENCSR591KSN,,,,,ENCSR449AXO,ENCSR139PIA,ENCSR573CWZ,,ENCSR274OIJ,ENCSR645BCH,ENCSR661MUS,,,ENCSR518LDN,ENCSR105NMJ,,,ENCSR256KTR,,,ENCSR720ZAX,,,,,,,,,,,ENCSR244ISQ,
147,ENCBS044RQV,,,,,,ENCSR884ODJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,ENCBS045GHW,,,,ENCSR000ALV,,,,ENCSR000ARE,ENCSR000ARF,,,,,,,,,,,,,ENCSR000ALW,ENCSR000ALX,ENCSR000ALY,,ENCSR000AMJ,ENCSR000AMK,ENCSR016JWS,,,ENCSR000ASB,ENCSR000ALZ,,,ENCSR000ARG,,,,,,,,,,,,,,,
149,ENCBS046DOQ,,,,,,ENCSR000EOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,ENCBS046FEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR974EGY,,,,,,,,,,,,,,,
151,ENCBS046RNA,,,,ENCSR254YRM,,,,,,,,,,,,,,,,,,,ENCSR666FYM,ENCSR892MHG,,ENCSR218ZMU,,ENCSR795VEN,,,,,,,ENCSR563YGF,,,,,,,ENCSR837GTK,ENCSR521IID,,,,ENCSR917QNE,ENCSR867WPH,ENCSR000AEU,ENCSR382MOM
152,ENCBS046TKS,,,,,,ENCSR862SQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,ENCBS047TWL,,,,,,,,,,,,,,,,,,,,,,ENCSR718BTD,,ENCSR962MYX,,,,ENCSR258UUX,,,,,,,,,,,,,,,,,,,,,,
154,ENCBS048TNH,,,,,,ENCSR477RTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,ENCBS048XFP,,,,,,ENCSR149XIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,ENCBS049DTW,,,,,,ENCSR325FWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,ENCBS049FLD,ENCSR868FGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,ENCBS049FOY,ENCSR335XRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,ENCBS049LCH,,,,ENCSR068DJS,,,,,,,,,,,,,,,,,,ENCSR136KIM,ENCSR036OBW,,,,,ENCSR403PHS,,,,,,,,,,,,,,,,,,,,,,
160,ENCBS049MEE,ENCSR032RGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,ENCBS049WJJ,,,,,,ENCSR311EEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,ENCBS050AKF,,,,,,,,,,,,,,,,,,,,,,ENCSR203KCB,ENCSR582PKH,ENCSR908DTR,,ENCSR639NMN,,ENCSR975NOU,,,,,,,ENCSR699FHH,,,,,,,,,,,,,,,
163,ENCBS050EYT,,,,ENCSR000DVH,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DVG,,,,,,,,,,,,,,,,,,,,,,
164,ENCBS051GSS,ENCSR614JAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,ENCBS051JUB,,,,,,ENCSR141DMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ENCBS052EGS,,,,,,,,,,,,,,,,,,,,,,ENCSR743DDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,ENCBS052PQE,,,,,,ENCSR468AKF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,ENCBS052WQU,,,,,,ENCSR000EPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR233IJT,
169,ENCBS053ERX,ENCSR594TMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,ENCBS053JES,ENCSR610AQP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ENCBS053PUQ,,,,,,ENCSR197ZNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,ENCBS054CPR,,,,,,ENCSR164PQJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,ENCBS054JUC,,,,ENCSR756URL,,,,,,,,,,,,,,,,,,ENCSR909UAG,ENCSR057BFO,ENCSR078ZGC,,ENCSR121RSS,,ENCSR508UPW,,,,,,,ENCSR057YVO,,,,,,,,,,,,,,,
174,ENCBS054KUO,,,,,,,,,,,,,,,,,,,,,,ENCSR892XFG,ENCSR859EIX,ENCSR205NEW,,ENCSR330NKU,,ENCSR237QFJ,,,,,,,ENCSR773TWR,,,,,,,,,,,,,,,
175,ENCBS054OHJ,,,,,,ENCSR162JNV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ENCBS054WKY,,,,,,ENCSR753QKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,ENCBS055BDT,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR991BTY,,,,,,,,,,,,,,,,,,,,,,,,
178,ENCBS055BEU,,,,,,ENCSR534OJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,ENCBS055DBZ,,,,,,,,,,,,,,,,,,,,,,,,ENCSR925LJZ,,,,,,,,ENCSR952GVX,,,,,,,,,,,,,,,,,,
180,ENCBS055ILX,,,,,,ENCSR346IHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR254JJM,
181,ENCBS055JKA,ENCSR414DVK,,,ENCSR014GSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR412QGD,,,,,
182,ENCBS055ULH,,,,,,ENCSR016THC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,ENCBS056AAA,,,ENCSR000BSR,,,,ENCSR000BTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000BSU,ENCSR000BUL,,,,ENCSR000BTQ,ENCSR000BSP,,
184,ENCBS056ENC,,,,,,ENCSR000EOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,ENCBS056PYD,,,,,,,,,,,,,,,,,,,,,,ENCSR847AIA,ENCSR218BPG,ENCSR760LFY,,ENCSR207ZIA,,ENCSR715KGX,,,,,,,ENCSR651IVN,,,,,,,,,,,,,,,
186,ENCBS057COO,,,,,,,,,,,,,,,,,,,,,,,,ENCSR844DRI,,,,,,,,,,,,,,,,,,,,,,,,,,
187,ENCBS057ENC,,,,,,ENCSR000EMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,ENCBS057LKL,ENCSR485TLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,ENCBS059BTM,,,,,,ENCSR694LFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,ENCBS059VNF,ENCSR335JVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,ENCBS062HXL,ENCSR214EIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,ENCBS062ILC,,,,,,ENCSR000EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR696SMK,
193,ENCBS062JBT,,,,,,ENCSR269SIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR653DFZ,
194,ENCBS062QTX,,,,,,ENCSR635VQU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,ENCBS062YRE,ENCSR705RZX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,ENCBS063ABX,ENCSR113MBR,,,ENCSR450BLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,ENCBS064CNC,,,,,,ENCSR158YXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,ENCBS064MNR,,,,,,ENCSR155NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,ENCBS064ZNP,,,,,,ENCSR270JQK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ENCBS065CKH,,,,,,ENCSR075MQZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,ENCBS065ENC,,,,,,ENCSR000EPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ENCBS065HLV,,,,,,ENCSR973MKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,ENCBS065SFO,,,,ENCSR000DPV,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DPX,,,,,,,,,,,,,,,,,,,,,,
204,ENCBS066AJB,,,,,,ENCSR609DDQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,ENCBS066NJO,,,,,,ENCSR548KXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,ENCBS066OMC,,,,,,ENCSR274FZD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ENCBS066XJR,,,,,,ENCSR038POV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,ENCBS067HEP,,,,,,ENCSR496UER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,ENCBS067UVZ,,,,,,ENCSR628NEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,ENCBS068KST,,,,,,,,ENCSR000ASE,ENCSR000ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000ARJ,,,,,,,,,,,,
211,ENCBS068SOG,ENCSR330WUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,ENCBS069CLB,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR410BCN,,,,,,,,,,,,,,,,,,,,,,,
213,ENCBS069DAA,,,,,,ENCSR543YPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,ENCBS069DBW,,,,,,ENCSR612CTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,ENCBS069ENC,,,,,,ENCSR000ENU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,ENCBS069JPK,,,,,,,,,,,,,,,,,,,,,,,ENCSR581UGC,ENCSR370RJP,,ENCSR292WQY,,ENCSR438NCW,,,,ENCSR061NWO,,,,,,,,,,,,,,,,,,
217,ENCBS070HZP,,,,,,ENCSR000EQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,ENCBS070PYD,,,,,,,,,,,,,,,,,,,,,,,ENCSR277WTO,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,ENCBS070SAG,,,,,,ENCSR595THL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,ENCBS070UWK,,,,,,ENCSR371KRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,ENCBS070WLP,,,,,,ENCSR548MMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ENCBS071ENC,,,,,,ENCSR000EMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,ENCBS071FUE,,,,,,,,,,,,,,,,,,,,,,ENCSR095YMD,ENCSR177CGN,ENCSR743KZR,,ENCSR229KWP,,ENCSR607ARN,,,,,,,ENCSR578MTT,,,,,,,,,,,,,,,
224,ENCBS072ENC,,,,,,ENCSR000ENJ,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTK,,,,,,,,,,,,,,,,,,,,,,
225,ENCBS072LNZ,,,,,,ENCSR221ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,ENCBS073ENC,,,,,,ENCSR000EQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,ENCBS073GVF,,,,,,,,,,,,,,,,,,,,,,ENCSR235KRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,ENCBS073IDQ,,,,,,ENCSR017SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,ENCBS073UMS,ENCSR452COS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,ENCBS073XSW,,,,,,ENCSR000EMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,ENCBS074ENC,,,,,,ENCSR000EME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,ENCBS075FJA,,,,,,ENCSR496UJY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,ENCBS075JAX,,,,,,ENCSR800QGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,ENCBS075PNA,,,,ENCSR000AOA,,,,ENCSR000ATC,ENCSR000AQN,,,,,,,,,,,,,ENCSR000AOC,ENCSR000APB,ENCSR000AOD,,ENCSR000APW,ENCSR000AOE,ENCSR340WQU,,,ENCSR000AOG,ENCSR000AOH,,,ENCSR000AQO,,,ENCSR000AOI,,,,,,,,,,,,
235,ENCBS076BKW,,,,,,ENCSR818HHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,ENCBS077RUJ,,,,ENCSR252QYR,,ENCSR364MFN,,ENCSR384LYW,ENCSR883XRM,,,,,,,,,,,,,ENCSR507UDH,ENCSR637RLN,ENCSR034BEQ,,ENCSR689QUB,ENCSR220XCD,ENCSR442ZOI,,,ENCSR695HYL,ENCSR850ODD,,,ENCSR758GMX,,,ENCSR289TGF,,,,,,,,,,,ENCSR908ZAS,
237,ENCBS077YKW,,,,,,ENCSR598RRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,ENCBS078FQL,,,,,,ENCSR520BAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,ENCBS078MQQ,,,,,,,,,,,,,,,,,,,,,,ENCSR177QFY,,ENCSR857XRG,,ENCSR406PCK,,ENCSR926NMC,,,,,,,ENCSR408ZEW,,,,,,,,,,,,,,,
240,ENCBS078OEW,,,,,,,,,,,,,,,,,,,,,,ENCSR700LWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,ENCBS078RTI,,,,,,ENCSR564TUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,ENCBS078XUR,,,,,,ENCSR456KDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,ENCBS079CNL,,,,,,ENCSR051CYH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,ENCBS079FBY,ENCSR304ZDQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,ENCBS079FSC,,,,,,ENCSR953UJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,ENCBS080BPN,,,,,,ENCSR503BEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,ENCBS080DZD,ENCSR242QRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,ENCBS080PZG,,,,ENCSR464DKE,,,,,ENCSR900HAP,,,,,,,,,,,,,,ENCSR183CQK,ENCSR837SUQ,,ENCSR036KFJ,ENCSR165LOF,ENCSR657RRI,,,ENCSR429QYS,ENCSR543IKB,,,ENCSR884QDT,,,ENCSR760ZVL,,,,,,,,,,,,
249,ENCBS080TMX,,,,,,ENCSR630XDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,ENCBS080VXQ,,,,,,ENCSR541IET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,ENCBS080WVB,ENCSR159GFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,ENCBS080XHY,,,,,,ENCSR310ZGQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,ENCBS081AUS,,,,,,,,,,,,,,,,,,,,,,,ENCSR216OGD,,,ENCSR631RJR,,ENCSR019SQX,,,,,,,,,,,,,,,,,,,,,,
254,ENCBS081COY,,,,,,ENCSR751VMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,ENCBS082XOA,,,,,,ENCSR871APX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,ENCBS082XZQ,,,,,,ENCSR122NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,ENCBS082ZAA,,,,,,ENCSR503UNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,ENCBS083CPL,ENCSR872MAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,ENCBS083KRS,ENCSR855BMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,ENCBS083WOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR003SSR,,,,,,,,,,,,,,,,,,,,,,
261,ENCBS084JJE,,,,,,ENCSR113DHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,ENCBS084JLL,,,,,,ENCSR832IQN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,ENCBS084NIJ,,,,,,ENCSR714DIF,,,,ENCSR598UDU,,,,,,ENCSR327JOJ,,,,,,ENCSR473PNT,ENCSR405AXO,ENCSR144RXL,,ENCSR664KWY,ENCSR126BGU,ENCSR441SAT,,ENCSR357HAN,ENCSR575ZNE,ENCSR839PUY,,,,,,,ENCSR035BZI,,,,,,,,,,,
264,ENCBS084XDW,ENCSR105SCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,ENCBS085ZEK,,,,,,ENCSR342OGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,ENCBS086AXQ,,,,,,ENCSR709IYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,ENCBS086EMA,,,,,,ENCSR720FVJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,ENCBS086KJH,,,,,,ENCSR933HFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,ENCBS087RTK,,,,,,ENCSR383SNM,,,,,,,,,,,,,,,,ENCSR505OPZ,ENCSR100PNV,ENCSR067BNI,,ENCSR307OAJ,,ENCSR888WZL,,,,,,,ENCSR704BRU,,,,,,,,,,,,,,,
270,ENCBS087UPP,,,,,,ENCSR464ETX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,ENCBS087YAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DXU,,,,,,,,,,,,,,,,,,,,,,
272,ENCBS088JMY,,,,,,,,,,,,,,,,,,,,,,ENCSR668EVA,,ENCSR361XMB,,,,ENCSR954TSY,,,,,,,,,,,,,,,,,,,,,,
273,ENCBS088TSK,,,,,,ENCSR166KPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,ENCBS089SAY,,,,,,ENCSR784RMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,ENCBS090AVS,,,,,,ENCSR171APM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,ENCBS090ENC,,,,,,ENCSR000ENV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,ENCBS090LBL,,,,,,ENCSR228VNQ,,,,,,,,,,,,,,,,,ENCSR134HVI,ENCSR597RXT,,ENCSR521FND,,ENCSR807YQE,,,,,,,ENCSR668GKQ,,,,,,,,,,,,,,,
278,ENCBS090OSL,ENCSR305QTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,ENCBS090WQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR775TAI,,,,,,,,,,,,,,,
280,ENCBS091CWU,ENCSR422RPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,ENCBS091ENC,,,,ENCSR000ALV,,,,ENCSR000ARE,ENCSR000ARF,,,,,,,,,,,,,ENCSR000ALW,ENCSR000ALX,ENCSR000ALY,,ENCSR000AMJ,ENCSR000AMK,ENCSR016JWS,,,ENCSR000ASB,ENCSR000ALZ,,,ENCSR000ARG,,,ENCSR000AMM,,,,,,,,,,,,
282,ENCBS091OOD,ENCSR535NOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,ENCBS091SUW,,,,,,ENCSR083STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR971KNW,
284,ENCBS092CLB,ENCSR477YSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,ENCBS092RUO,ENCSR775KMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,ENCBS093HNZ,,,,,,,,,,,,,,,,,,,,,,,ENCSR517CFV,ENCSR160CPS,,ENCSR813ULW,,ENCSR287YDU,,,,ENCSR365DWX,,,ENCSR241PXI,,,,,,,,,,,,,,,
287,ENCBS094KYE,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTZ,,,,,,,,,,,,,,,,,,,,,,,,,,
288,ENCBS094MGI,,,,,,ENCSR785BDQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,ENCBS094RCD,ENCSR808ZMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,ENCBS094UER,,,,,,ENCSR134IUJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,ENCBS095ENC,,,,,,ENCSR000EKW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,ENCBS095FVN,,,,,,ENCSR261RWJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,ENCBS095RIH,,,,,,ENCSR090SMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,ENCBS095TOF,,,,,,ENCSR420NOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,ENCBS096INK,,,,ENCSR928RNP,,,,,,,,,,,,,,,,,,ENCSR342KXD,ENCSR468DOT,ENCSR427TBJ,,ENCSR670UJZ,,ENCSR178KWE,,,,,,,ENCSR370LLS,,,,,,,,,,,,,,,
296,ENCBS096LWS,,,,ENCSR000AOO,,,,ENCSR000ARR,ENCSR000AQP,,,,,,,,,,,,,ENCSR000AOQ,ENCSR000AOR,ENCSR000AOS,,ENCSR000AOT,ENCSR000ARS,ENCSR000AOU,,,ENCSR000AQQ,ENCSR000ART,,,,,,ENCSR000ARU,,,,,,,,,,,,
297,ENCBS096ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR410BCN,,,,,,,,,,,,,,,,,,,,,,,
298,ENCBS097LXO,,,,,,,,,,,,,,,,,,,,,,ENCSR230IMS,ENCSR266OIG,ENCSR460RHN,,ENCSR111OHT,,ENCSR458WIH,,,,ENCSR021BCU,,,ENCSR351DLF,,,,,,,,,,,,,,,
299,ENCBS098ETX,,,,ENCSR000AUV,,,,,ENCSR000AUX,,,,,,,,,,,,,,,ENCSR424XBP,,,ENCSR000AUY,ENCSR878JSF,,,,ENCSR799SLA,,,ENCSR005WWZ,,,,,,,,,,,,,,,
300,ENCBS098SOQ,,,,ENCSR000DPY,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DQA,,,,,,,,,,,,,,,,,,,,,,
301,ENCBS099BXQ,,,,,,,,,,,,,,,,,,,,,,,ENCSR262NQD,ENCSR775GZI,,ENCSR888OSH,,ENCSR153SGD,,,,ENCSR335ELI,,,ENCSR560OUF,,,,,,,,,,,,,,,
302,ENCBS099OIO,,,,,,ENCSR297ORG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,ENCBS100DZU,,,,,,ENCSR014VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,ENCBS100ZVH,,,,ENCSR084RDK,,,,,ENCSR859FGW,,,,,,,,,,,,,ENCSR741STU,ENCSR350RYG,ENCSR784AQY,,ENCSR460SEN,ENCSR992YSL,ENCSR052WRV,,,ENCSR623GZY,,,ENCSR463DSJ,ENCSR627TNG,,,ENCSR279JHU,,,,,,,,,,,,
305,ENCBS101OHM,,,,,,ENCSR363BTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,ENCBS102BOL,ENCSR637MUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,ENCBS102SRR,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR124AZR,,ENCSR743GCE,,,,,,,,,,,,,,,,,,,,,,
308,ENCBS103BCS,ENCSR144ZXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
